Area,Ward No,Sub Ward,Ward Name,Winner,Party
,17,A,"Kisan Nagar No. 2, M.I.D.C., Nehru Nagar, Ambika Nagar",Ekta Eknath Bhoir,ShivSena
,17,B,"Kisan Nagar No. 2, M.I.D.C., Nehru Nagar, Ambika Nagar",Sandhya Sunil More,ShivSena
,17,C,"Kisan Nagar No. 2, M.I.D.C., Nehru Nagar, Ambika Nagar",Prakash Sambhaji Shinde,ShivSena
,17,D,"Kisan Nagar No. 2, M.I.D.C., Nehru Nagar, Ambika Nagar",Yogesh Tatoba Jankar,ShivSena
,18,A,"Kisan Nagar No. 1, Padwal Nagar, Shiv Shakti Nagar",Deepak Vijay Vetkar,ShivSena
,18,B,"Kisan Nagar No. 1, Padwal Nagar, Shiv Shakti Nagar",Jayshree Ravindra Phatak,ShivSena
,18,C,"Kisan Nagar No. 1, Padwal Nagar, Shiv Shakti Nagar",Sukhda Sanjay More,ShivSena
,18,D,"Kisan Nagar No. 1, Padwal Nagar, Shiv Shakti Nagar",Ram Pandurang Repale,ShivSena
,19,A,"Anand Nagar, Gandhi Nagar, Ragunath Nagar, Mental Hospital, Kashish Park, Hajuri",Minal Mukund Sankhe,ShivSena
,19,B,"Anand Nagar, Gandhi Nagar, Ragunath Nagar, Mental Hospital, Kashish Park, Hajuri",Namrata Rajendra Phatak,ShivSena
,19,C,"Anand Nagar, Gandhi Nagar, Ragunath Nagar, Mental Hospital, Kashish Park, Hajuri",Vikas Krishna Repale,ShivSena
,19,D,"Anand Nagar, Gandhi Nagar, Ragunath Nagar, Mental Hospital, Kashish Park, Hajuri",Naresh Ganpat Mhaske,ShivSena
,20,A,"Kopri Colony, Chendani (East), Parsi Colony, Thanekar Wadi, Bara Bangla",Malti Ramakant Patil,ShivSena
,20,B,"Kopri Colony, Chendani (East), Parsi Colony, Thanekar Wadi, Bara Bangla",Sharmila Rohit Pimpolkar,ShivSena
,20,C,"Kopri Colony, Chendani (East), Parsi Colony, Thanekar Wadi, Bara Bangla",Namrata Hemant Pamnani,ShivSena
,20,D,"Kopri Colony, Chendani (East), Parsi Colony, Thanekar Wadi, Bara Bangla",India Abhimanyu Chavan,BJP
,21,A,"Hindu Colony, Bhaskar Colony, Vandana Society, Chandra Nagar, Ghantali, Vishnu Nagar, Masunda Talao",Sanjay Santu Waghule,BJP
,21,B,"Hindu Colony, Bhaskar Colony, Vandana Society, Chandra Nagar, Ghantali, Vishnu Nagar, Masunda Talao",Pratibha Rajesh Madhavi,BJP
,21,C,"Hindu Colony, Bhaskar Colony, Vandana Society, Chandra Nagar, Ghantali, Vishnu Nagar, Masunda Talao",Mrinal Arvind Pendse,BJP
,21,D,"Hindu Colony, Bhaskar Colony, Vandana Society, Chandra Nagar, Ghantali, Vishnu Nagar, Masunda Talao",Sunesh Ramchandra Joshi,BJP
,22,A,"Central Jail, Mahagiri, Kharkar Ali, Chendani, Koliwada",Sunil Bhimrao Handore,BJP
,22,B,"Central Jail, Mahagiri, Kharkar Ali, Chendani, Koliwada",Namrata Jayendra Koli,BJP
,22,C,"Central Jail, Mahagiri, Kharkar Ali, Chendani, Koliwada",Pallavi Pawan Kadam,ShivSena
,22,D,"Central Jail, Mahagiri, Kharkar Ali, Chendani, Koliwada",Sudhir Vishnu Kokate,ShivSena
,23,A,"Kalwa, Manisha Nagar, Janki Nagar",Milind Bharat Patil,NCP
,23,B,"Kalwa, Manisha Nagar, Janki Nagar",Aparna Milind Salvi,NCP
,23,C,"Kalwa, Manisha Nagar, Janki Nagar",Pramila Mukund Keni,NCP
,23,D,"Kalwa, Manisha Nagar, Janki Nagar",Mukund Balu Keni,NCP
,24,A,"Vitawa, Bhola Nagar, Anand Nagar, Ganpati Pada",Aarti Vaman Gaikwad,NCP
,24,B,"Vitawa, Bhola Nagar, Anand Nagar, Ganpati Pada",Priyanka Avinash Patil,ShivSena
,24,C,"Vitawa, Bhola Nagar, Anand Nagar, Ganpati Pada",Jitendra Balram Patil,NCP
,24,D,"Vitawa, Bhola Nagar, Anand Nagar, Ganpati Pada",Pooja Sandeep Karsule,ShivSena
,25,A,"Paud Pada, Atkoneshwar Nagar, Gholai Nagar, Waghai Colony, Aparna Raj Society, Kokaneshwar Society",Mahesh Jagan Salvi,NCP
,25,B,"Paud Pada, Atkoneshwar Nagar, Gholai Nagar, Waghai Colony, Aparna Raj Society, Kokaneshwar Society",Mangal Chandrakant Kalambe,ShivSena
,25,C,"Paud Pada, Atkoneshwar Nagar, Gholai Nagar, Waghai Colony, Aparna Raj Society, Kokaneshwar Society",Varsha Arvind More,NCP
,25,D,"Paud Pada, Atkoneshwar Nagar, Gholai Nagar, Waghai Colony, Aparna Raj Society, Kokaneshwar Society",Prakash Indradas Barde,NCP
,26,A,"Hanuman Nagar, Gautam Nagar, Devi Pada, Shailesh Nagar",Anita Rajan Kine,NCP
,26,B,"Hanuman Nagar, Gautam Nagar, Devi Pada, Shailesh Nagar",Deepali Motiram Bhagat,INC
,26,C,"Hanuman Nagar, Gautam Nagar, Devi Pada, Shailesh Nagar",Yasin Ayub Qureshi,INC
,26,D,"Hanuman Nagar, Gautam Nagar, Devi Pada, Shailesh Nagar",Vishwanath Ramdas Bhagat,Independent
,27,A,"Diva, Sabe, Sadguru Nagar, BR Nagar",Shailesh Manohar Patil,ShivSena
,27,B,"Diva, Sabe, Sadguru Nagar, BR Nagar",Ankita Vijay Patil,ShivSena
,27,C,"Diva, Sabe, Sadguru Nagar, BR Nagar",Deepali Umesh Bhagat,ShivSena
,27,D,"Diva, Sabe, Sadguru Nagar, BR Nagar",Amar Brahma Patil,ShivSena
,28,A,"Agasan, Mhatardi, Betavade, Dativali, Bholenath Nagar, Bedekar Nagar",Deepak Namdev Jadhav,ShivSena
,28,B,"Agasan, Mhatardi, Betavade, Dativali, Bholenath Nagar, Bedekar Nagar",Darshana Charandas Mhatre,ShivSena
,28,C,"Agasan, Mhatardi, Betavade, Dativali, Bholenath Nagar, Bedekar Nagar",Sunita Ganesh Munde,ShivSena
,28,D,"Agasan, Mhatardi, Betavade, Dativali, Bholenath Nagar, Bedekar Nagar",Ramakant Dasharath Madhavi,ShivSena
,29,A,"Khardi, Davale, Padale, Desai, Khidakali, Daighar, Kausa Talao",Babaji Balaram Patil,NCP
,29,B,"Khardi, Davale, Padale, Desai, Khidakali, Daighar, Kausa Talao",Nadira Yasin Surme,NCP
,29,C,"Khardi, Davale, Padale, Desai, Khidakali, Daighar, Kausa Talao",Sulochana Hira Patil,NCP
,30,A,Kismat Colony,Hasina Aziz Sheikh,NCP
,30,B,Kismat Colony,Hafiza Nasruddin Naik,NCP
,30,C,Kismat Colony,Zafarnomani Anwar Sheikh,NCP
,30,D,Kismat Colony,Sirajahmed Mohammadali Dongre,NCP
,31,A,"Sanjay Nagar, Shankar Mandir, Mek Co.- Anand, Koliwada",Sunita Pandurang Satpute,NCP
,31,B,"Sanjay Nagar, Shankar Mandir, Mek Co.- Anand, Koliwada",Rupali Chandan Gote,NCP
,31,C,"Sanjay Nagar, Shankar Mandir, Mek Co.- Anand, Koliwada",Rajan Narayan Kine,NCP
,31,D,"Sanjay Nagar, Shankar Mandir, Mek Co.- Anand, Koliwada",Moreshwar Narayan Kin,NCP
,32,A,"Nasheman Colony, Maksud Nagar, Wafa Hills, Accord Complex, Sonaji Nagar",Farzana Mohammed Sheikh,NCP
,32,B,"Nasheman Colony, Maksud Nagar, Wafa Hills, Accord Complex, Sonaji Nagar",Ashrin Ibrahim Raut,NCP
,32,C,"Nasheman Colony, Maksud Nagar, Wafa Hills, Accord Complex, Sonaji Nagar",Ashraf Usman Pathan,NCP
,32,D,"Nasheman Colony, Maksud Nagar, Wafa Hills, Accord Complex, Sonaji Nagar",Miraj Naeem Khan,NCP
,33,A,"Charni Pada, Devri Pada, Rashid Compound",Sajiya Parveen Sarfaraz Ansari,NCP
,33,B,"Charni Pada, Devri Pada, Rashid Compound",Hajra Kamrul Sheikh,AIMIM
,33,C,"Charni Pada, Devri Pada, Rashid Compound",Jameela Nasir Khan,NCP
,33,D,"Charni Pada, Devri Pada, Rashid Compound",Shahalam Shahid Azmi,AIMIM
